id,level,board,duration
457,BSc Medical Imaging Technology (BSc MIT),Tribhuvan University,4 years
458,MCh Cardiothoracic and Vascular Surgery (CTVS),National Academy of Medical Sciences,3 years
459,Three Years LLM,Tribhuvan University,3 years
460,MSc in Geo-Technical Engineering,Tribhuvan University,2 years
461,Bachelor of Physiotherapy (BPT),Kathmandu University,4 years 6 months
462,MD General Practice (MDGP),National Academy of Medical Sciences,3 years
463,​BSc Nursing,Patan Academy of Health Sciences,4 years
464,MA in Theravada Buddhism,Lumbini Buddhist University,2 years
465,MCh GI Surgery,Kathmandu University,3 years
466,MSc in Climate Change and Development,Tribhuvan University,2 years
467,DM in Neurology,National Academy of Medical Sciences,3 years
468,Pre-Diploma in Ayurveda (AAHW),CTEVT,1 year 3 months
469,"Master in Population, Gender and Development (MPGD)",Pokhara University,2 years
470,Pre-Diploma in Auxiliary Nurse Midwife (ANM),CTEVT,1 year 6 months
471,MPhil in Economics,Tribhuvan University,1 year 6 months
472,MA in Linguistics (MA linguistics),Tribhuvan University,2 years
473,Bachelor of Nursing Science (BNS),Patan Academy of Health Sciences,3 years
474,PhD in Forestry,Tribhuvan University,3 years
475,Bachelor in Travel and Tourism Management (BTTM),Tribhuvan University,4 years
476,MPhil in Nepali,Tribhuvan University,1 year 6 months
477,Bachelor of Veterinary Science and Animal Husbandry (BVSc&AH),Purbanchal University,5 years
478,PCL in Ayurveda and General Medicine,CTEVT,3 years
479,PCL in General Medicine-Health Assistant (HA),CTEVT,3 years
480,Diploma in Culinary Arts- Australia Course Certification,,6 months
481,Certificate in Dental Science (Dental Hygiene),CTEVT,3 years
482,Bachelor of Veterinary Science and Animal Husbandry (BVSc&AH),Tribhuvan University,5 years
483,Master of Healthcare Management (MHCM),Pokhara University,2 years
484,MPhil in English,Tribhuvan University,1 year 6 months
485,BE in Computer Engineering (BE),Kathmandu University,4 years
486,Master of Arts in Music (MMus),Kathmandu University,2 years
487,Bachelor in Film Studies (BFS),Tribhuvan University,4 years
488,MPhil in Sociology,Tribhuvan University,1 year 6 months
489,MA in Anthropology (MA Anthropology),Tribhuvan University,2 years
490,MD in Radio Diagnosis,Tribhuvan University,3 years
491,MPhil in Mathematics,Tribhuvan University,1 year 6 months
492,MPhil in Educational Leadership,Kathmandu University,1 year 6 months
493,MPhil in Development Studies,Kathmandu University,1 year 6 months
494,Diploma in Library and Information Centre Management,Kathmandu University,2 years 4 months
495,MA in International Relations and Diplomacy (MIRD),Tribhuvan University,2 years
496,MTech Biotechnology,Kathmandu University,2 years
497,BTech Biotechnology,Kathmandu University,4 years
498,Master in Planning and Operation of Energy Systems,Kathmandu University,2 years
499,MA in Political Science (MA Political Science),Tribhuvan University,2 years
500,BE in Mechanical Engineering (BE Mechanical),Kathmandu University,4 years
501,MSc in Wildlife Management and Biodiversity Conservation,Tribhuvan University,2 years
502,MA in Sociology,Tribhuvan University,2 years
503,PCL in Acupuncture Acupressure and Moxibustion,CTEVT,3 years
504,MSc Computer Science and Information Technology (MSc CSIT),Tribhuvan University,2 years
505,Master in Development Studies (MDEVS),Pokhara University,2 years
506,DM Emergency Medicine,Tribhuvan University,3 years
507,BSc Horticulture and Floriculture Management,Tribhuvan University,4 years
508,MD in Psychiatry,Tribhuvan University,3 years
509,DM Cardiology,National Academy of Medical Sciences,3 years
510,Bachelor in Optometry (B Optom),Tribhuvan University,4 years
511,MSc Earthquake Engineering,Tribhuvan University,2 years
512,MD in Paediatric,National Academy of Medical Sciences,3 years
513,BSc Nursing,Tribhuvan University,4 years
514,Bachelor of Dental Surgery (BDS),Tribhuvan University,5 years 6 months
515,BSc Medical Laboratory Technology (B.Sc MLT),BPKIHS,4 years
516,Bachelor of Business Studies (BBS),Mid-West University,4 years
517,BSc Nursing,Kathmandu University,4 years
518,Pre-Diploma in Community Medicine Assistant (CMA),CTEVT,1 year 3 months
519,MEd in Political Science Education,Tribhuvan University,2 years
520,MD in Ophthalmology,Tribhuvan University,3 years
521,MBA in Information Technology (MBA-IT),Tribhuvan University,2 years
522,Master of Technology in Information Technology (MTech in IT),Kathmandu University,2 years
523,Bachelor of Public Health (BPH),Pokhara University,4 years
524,BBA in Banking and Insurance (BBA-BI),Pokhara University,4 years
525,Bachelor of Business Information System (BBIS),Kathmandu University,4 years
526,Master of Business Administration (MBA),Tribhuvan University,2 years
527,Pre-Diploma in Medical Lab Technology (Lab Assistant) (Lab Assistant),CTEVT,1 year 3 months
528,MSc in Animal Science,Tribhuvan University,2 years
529,Bachelor of Computer System and Information Technology (BCSIT),Pokhara University,4 years
530,Master of Public Health (MPH),Purbanchal University,2 years
531,MSc in Agriculture,Tribhuvan University,2 years
532,MA in Applied Buddhism,Lumbini Buddhist University,2 years
533,MD Anaesthesiology,Tribhuvan University,3 years
534,Executive MBA (EMBA),Kathmandu University,2 years
535,Bachelor of Information Technology (BIT),Purbanchal University,4 years
536,MD Obstetrics and Gynaecology,Kathmandu University,2 years
537,Master of Education in History Education (M.Ed),Tribhuvan University,2 years
538,Bachelor of Travel and Tourism Studies (BTTS),Purbanchal University,3 years
539,MSc in Aquaculture,Tribhuvan University,2 years
540,CAP - II,The Institute of Chartered Accountants of Nepal (ICAN),9 months
541,BSc in Botany,Mid-West University,4 years
542,MD Obstetrics & Gynaecology,National Academy of Medical Sciences,3 years
543,Bachelor of Public Administration (BPA),Tribhuvan University,4 years
544,MA in Gender Studies,Tribhuvan University,2 years
545,Ten Plus Two in Computer Engineering,National Examinations Board,2 years
546,DM Gastroenterology,Tribhuvan University,3 years
547,Executive MBA (EMBA),Pokhara University,2 years
548,MA in Buddhist Studies,Kathmandu University,2 years
549,MD Ophthalmology,National Academy of Medical Sciences,3 years
550,DM Gastroenterology,National Academy of Medical Sciences,3 years
551,Bachelor of Computer Science (Hons) - IT (BCS),"​Infrastructure University, Kuala Lumpur",3 years
552,Master of Veterinary Science (MVSc),Tribhuvan University,2 years
553,MA in Rural Development (MRD),Tribhuvan University,2 years
554,MDS Conservative Dentistry and Endodontics,Tribhuvan University,3 years
555,DM in Hepatology (DM in Hepatology),National Academy of Medical Sciences,3 years
556,Master of Education (MEd),Purbanchal University,2 years
557,Bachelor in Mathematical Sciences (Actuarial  Science) (BMathSc),Tribhuvan University,4 years
558,Executive MBA (EMBA),Purbanchal University,2 years
559,DM in Medical Oncology,National Academy of Medical Sciences,3 years
560,CAP - III,The Institute of Chartered Accountants of Nepal (ICAN),3 years
561,MPhil in Population Studies,Tribhuvan University,1 year 6 months
562,Master of Hotel and Hospitality Management (MHHM),Purbanchal University,2 years
563,Master of Public Health (MPH),BPKIHS,2 years
564,BE in Civil Engineering (BE Civil),Kathmandu University,4 years
565,Master of Public Health (MPH),Tribhuvan University,2 years
566,MEd Nepali Language Education,Tribhuvan University,2 years
567,MA in Sociology and Anthropology,Purbanchal University,2 years
568,Master of Business Management (MBM),Tribhuvan University,2 years
569,MSc in Human Anatomy,BPKIHS,3 years
570,PCL General Medicine (Health Assistant),Karnali Academy of Health Sciences,3 years
571,ME in Electrical Power Engineering,Kathmandu University,2 years
572,Fellowship in Emergency Medicine (FEM),BPKIHS,1 year 6 months
573,Master of Education General (M.Ed),Tribhuvan University,2 years
574,MD Paediatrics,Tribhuvan University,3 years
575,PhD in Nursing,BPKIHS,5 years
576,MPhil in Management,Tribhuvan University,1 year 6 months
577,BSc Fisheries,Agriculture and Forestry University,4 years
578,MSc in Forestry,Tribhuvan University,2 years
579,Master in Pharmacy (M Pharm),Kathmandu University,2 years
580,ME in Computer Engineering (ME),Kathmandu University,2 years
581,Master of Education in Economics Education,Tribhuvan University,2 years
582,MD Radiotherapy,National Academy of Medical Sciences,3 years
583,Master of Education in Geography Education (M.Ed),Tribhuvan University,2 years
584,Master of Hospitality Management (MHM),Tribhuvan University,2 years
585,MD Microbiology,Tribhuvan University,2 years
586,Master of Education in Health Education (M.Ed),Tribhuvan University,2 years
587,Bachelor of Pharmacy (B Pharm),Purbanchal University,4 years
588,MSc in Transportation Engineering,Tribhuvan University,2 years
589,MD Physiology,Kathmandu University,3 years
590,Ten Plus Two in Civil Engineering,National Examinations Board,2 years
591,PhD in Medical Biochemistry,BPKIHS,5 years
592,Bachelor of Pharmacy (B Pharm),Tribhuvan University,4 years
593,MSc in Medical Biochemistry,BPKIHS,3 years
594,Bachelor of Dental Surgery (BDS),BPKIHS,5 years 6 months
595,MSc in Medical Microbiology,BPKIHS,2 years
596,Bachelor of Public Health (BPH),Tribhuvan University,4 years
597,Master of Education in Physical Education (M.Ed),Tribhuvan University,2 years
598,Bachelor in Midwifery Sciences (BMS),National Academy of Medical Sciences,3 years
599,Bachelor of Pharmacy (B Pharm),Kathmandu University,4 years
600,MSc Zoology,Tribhuvan University,2 years
601,​MBA-Banking and Finance (MBA-BF),Tribhuvan University,2 years
602,Advanced Diploma in Hospitality Management (ADHM),Scottish Qualifications Authority,21 months
603,MD Pharmacology,Kathmandu University,3 years
604,Bachelor of Ayurvedic Medicine and Surgery (BAMS),Tribhuvan University,5 years 6 months
605,Master of Education in Population Education (M.Ed),Tribhuvan University,2 years
606,MBA Finance and Control (MFC),Tribhuvan University,2 years
607,MSc Chemistry,Tribhuvan University,2 years
608,Bachelor of Ayurvedic Medicine and Surgery (BAMS),Nepal Sanskrit University,5 years 6 months
609,Diploma in Global Culinary Arts,Scottish Qualifications Authority,1 year
610,"Bachelor of Arts, Bachelor of Laws (BALLB)",Purbanchal University,5 years
611,MBA in Entrepreneurship (MBA-E),Tribhuvan University,2 years
612,MD Pathology,Kathmandu University,3 years
613,Pre-Diploma In Livestock Production / Animal Health,CTEVT,1 year 6 months
614,ACCA (ACCA),ACCA,3 years
615,BTech Environmental Engineering,Kathmandu University,4 years
616,MEd in Science Education,Tribhuvan University,2 years
617,BSc (Hons) Multimedia Technologies,London Metropolitan University,3 years
618,MSc in Information Technology (MSc IT),London Metropolitan University,2 years
619,Bachelor Degree in Business Administration (BBA),London Metropolitan University,4 years
620,Bachelor in Medical Laboratory Technology (BMLT),Tribhuvan University,4 years
621,Pre-Diploma in Agriculture (Plant Science),CTEVT,1 year 3 months
622,Bachelor of Geomatic Engineering (BE Geomatics),Purbanchal University,4 years
623,Masters of Education in Mathematics Education,Tribhuvan University,2 years
624,Pre-Diploma in Veterinary Science,CTEVT,1 year 6 months
625,Ten Plus Two in Animal Science,National Examinations Board,2 years
626,Bachelor in Audiology and Speech Language Pathology (BASLP),Tribhuvan University,4 years
627,MSc in Computer System and Knowledge Engineering,Tribhuvan University,2 years
628,MEd Curriculum and Evaluation,Tribhuvan University,2 years
629,Ten Plus Two in Plant Science,National Examinations Board,2 years
630,Bachelor in Media Studies (BMS),Kathmandu University,4 years
631,MEd Education Planning and Management,Tribhuvan University,2 years
632,Bachelor in Media Technology (BMT),Purbanchal University,4 years
633,BBA Marketing,"SIAM University, Thailand",4 years
634,Bachelor of Business Management and Bachelor of Law (BBM-LLB),Kathmandu University,5 years
635,MSc Physics,Tribhuvan University,2 years
636,BBA Finance and Banking,"SIAM University, Thailand",4 years
637,MPhil Clinical Psychology,Tribhuvan University,2 years
638,BE in Chemical Engineering (BE Chemical),Kathmandu University,4 years
639,BArch in Architecture (B.Arch),Kathmandu University,5 years
640,MD  Radio-Diagnosis (MD),National Academy of Medical Sciences,3 years
641,MD Radio Diagnosis,Kathmandu University,3 years
642,​MSc Mechanical Engineering in Design and Manufacturing,Tribhuvan University,2 years
643,MD Pathology,National Academy of Medical Sciences,3 years
644,MCh Gastrosurgery (MCH),National Academy of Medical Sciences,3 years
645,MD Paediatrics,Kathmandu University,3 years
646,MSc in Structural Engineering,Tribhuvan University,2 years
647,MSc in Technology and Innovation Management,Tribhuvan University,2 years
648,MSc in Urban Planning,Tribhuvan University,2 years
649,MS Orthopaedic & Trauma Surgery,National Academy of Medical Sciences,3 years
650,MSc in Construction Management,Tribhuvan University,2 years
651,MSc in Information and Communication Engineering (MSICE),Tribhuvan University,2 years
652,MSc in  Material Science and Engineering,Tribhuvan University,2 years
653,MSc in Environmental Engineering,Tribhuvan University,2 years
654,MS Ophthalmology,Kathmandu University,3 years
655,PCL Nursing,CTEVT,3 years
656,MSc in Disaster Risk Management,Tribhuvan University,2 years
657,Diploma in Food/Dairy Technology,CTEVT,3 years
658,MS in Orthopaedic and Trauma Surgery,Tribhuvan University,3 years
659,DM Neonatology,BPKIHS,3 years
660,DM Cardiology,Tribhuvan University,3 years
661,DM Critical Care Medicine,Tribhuvan University,3 years
662,PhD in Medical Microbiology,BPKIHS,5 years
663,PhD in Education,Tribhuvan University,4 years
664,PhD in Environmental Science,Kathmandu University,5 years
665,PhD in Engineering,Tribhuvan University,3 years
666,BSc Hons. in Hospitality Management (BHM),Lincoln University College,4 years
667,Diploma in Hospitality Management (DHM),Scottish Qualifications Authority,15 months
668,Pre-Diploma in Hotel Management,CTEVT,1 year 6 months
669,MSc Engineering Geology,Tribhuvan University,2 years
670,MSc Geology,Tribhuvan University,2 years
671,BSc (Hons) Computing,UCSI University,4 years
672,Bachelor of English and Communication Studies (BECS),Pokhara University,4 years
673,BSc (Hons) in Computer Science (BIT),University of Wolverhampton,4 years
674,Diploma in Entrepreneurship Development,CTEVT,3 years
675,Diploma in Refrigeration and Air Conditioning (DRAE),CTEVT,3 years
676,Pre-Diploma in Refrigeration and Air Conditioning,CTEVT,1 year 3 months
677,BSc Medical Imaging Technology (BSc MIT),National Academy of Medical Sciences,4 years
678,MSc Medical Imaging Technology (MSc MIT),National Academy of Medical Sciences,2 years
679,PhD in Management,Tribhuvan University,5 years
680,Bachelor in Hospitality Management (BHM),International Teaching University of Georgia,4 years
681,M Pharm in Clinical Pharmacy,Pokhara University,2 years
682,PhD in Environmental Science,Tribhuvan University,3 years
683,PhD in Geology,Tribhuvan University,3 years
684,PhD in Statistics,Tribhuvan University,3 years
685,PhD in Mathematics,Tribhuvan University,3 years
686,PhD in Microbiology,Tribhuvan University,3 years
687,PhD in Biotechnology,Tribhuvan University,3 years
688,PhD in Chemistry,Tribhuvan University,4 years
689,PhD in Physics,Tribhuvan University,3 years
690,PhD in Zoology,Tribhuvan University,3 years
691,PhD in Hydrology and Meteorology,Tribhuvan University,3 years
692,Level 2 Diploma in Aviation Environment,,
693,Level 2 Diploma in Aviation Environment (Airport Ground Handling),,
694,Flight Dispatcher Training,,
695,BSc IT Database Administration,Asia Pacific University of Technology & Innovation,3 years
696,Bachelor in Optometry and Vision Science,National Academy of Medical Sciences,4 years
697,Master of Business Administration (MBA),London Metropolitan University,2 years
698,Master in Sports Science (MSS),Tribhuvan University,2 years
699,Master in Tourism and Hospitality Studies (MTHS),Tribhuvan University,2 years
700,Masters in Environmental Administration and Management,Purbanchal University,2 years
701,Masters in Tourism Management (MTM),Indira Gandhi National Open University,2 years
702,Masters in Computer Application (MCA),Indira Gandhi National Open University,3 years
703,MA in English (MEG),Indira Gandhi National Open University,2 years
704,Bachelor’s Preparatory Programme (BPP),Indira Gandhi National Open University,6 months
705,Diploma in Hotel Management- Australia Course Certification,,6 months
706,Certificate -I in Barista,,1 month
707,Certificate -I in Bartending,,1 month
708,BSc (Hons) Mobile Application Development,London Metropolitan University,3 years
709,Bachelor Degree in Accounting & Finance,London Metropolitan University,3 years
710,Fundamental of Programming - neosphere,,6 months
711,Java Programming- neosphere,,6 months
712,.NET Programming- neosphere,,6 months
713,​Open Source Programming- neosphere,,6 months
714,Android Application Programming- neosphere,,6 months
715,​Database Administration (SQL Server),,6 months
716,Diploma in Information System Management (DISM),,6 months
717,Bachelor of Business Administration (Hons) (BBA),"​Infrastructure University, Kuala Lumpur",4 years
718,MTech Environmental Engineering,Kathmandu University,2 years
719,MPhil Management,Purbanchal University,
720,Bachelor in Midwifery Sciences (BMS),Karnali Academy of Health Sciences,3 years
721,BSc in Forestry,Purbanchal University,4 years
722,BSc Agriculture (BScAg),Far-Western University,4 years
723,Diploma in Makeup Artistry,,1 month
724,Masters in Professional Makeup Artistry,,3 months
725,BSc Chemistry,Tribhuvan University,4 years
726,BSc Botany,Tribhuvan University,4 years
727,BSc Zoology,Tribhuvan University,4 years
728,BSc Mathematics,Tribhuvan University,4 years
729,BSc Statistics,Tribhuvan University,4 years
730,Bachelor in Aerospace Engineering (BE),Tribhuvan University,4 years
731,BSc in Computer Science and Information Technology (BSc CSIT),Mid-West University,4 years
732,Bachelor of Hydropower Engineering,Mid-West University,4 years
733,Bachelor of Information Technology (BIT),Lincoln University College,4 years
734,Bachelor of Computer Science (Hons) Network Technology & Cyber Security (BCS),Lincoln University College,3 years
735,Bachelor of Fashion Design and Management (BFDM),Purbanchal University,4 years
736,Diploma in Fashion Design,,1 year
737,Diploma in Interior Design,,15 months
738,BSc in Computer Science and Information Technology (BSc CSIT),Far-Western University,4 years
739,Master in Energy Efficient Building Design (EEBD),Kathmandu University,2 years
740,MSc in Physics,Kathmandu University,2 years
741,BBA Finance (BBA-Finance),Tribhuvan University,4 years
742,BBA (Marketing) with International Business,London Metropolitan University,4 years
743,BBA (Accounting & Finance) with International Business,London Metropolitan University,4 years
744,BBA with Specialization in International Business,London Metropolitan University,4 years
745,Master of Business Administration (MBA),Nepal Open University,2 years
746,MS in Development Management and Governance (MSDMG),Nepal Open University,2 years
747,Bachelor of Law (LLB),Nepal Open University,3 years
748,Bachelor of Business Studies (BBS),Nepal Open University,3 years
749,Bachelor of Computer Application (BCA),Rajarshi Janak University,4 years
750,Bachelor of Business Administration (BBA),Rajarshi Janak University,4 years
751,BSc Computer Science and Information Technology (BSc CSIT),Rajarshi Janak University,4 years
752,BSc Medical Laboratory Technology (BSc MLT),Rajarshi Janak University,4 years
753,MD in Radiology and Imaging,Patan Academy of Health Sciences,3 years
754,MS in Otorhinolaryngology (ENT),Patan Academy of Health Sciences,3 years
755,MD in Psychiatry,Patan Academy of Health Sciences,3 years
756,Bachelor of Information and Communication Technology (BICT),Asia e University,4 years
757,Master of Business Administration (MBA),Asia e University,2 years
758,Six Months Training on Psycho-social Counseling,,6 months
759,Bachelor of Public Health (BPH),Karnali Academy of Health Sciences,4 years
760,Bachelor of Optometry (B Optom),Pokhara University,4 years
761,​Bachelor of Nursing Science in Oncology,Pokhara University,3 years
762,Pre-Diploma in Computer Engineering (Computer Sub-Overseer),CTEVT,1 year 3 months
763,Chartered Institute of Management Accountants (CIMA),,3 years
764,MPhil in Information and Communication Technology,Nepal Open University,1 year 6 months
765,Master in e-Governance,Nepal Open University,2 years
766,Bachelor of Physiotherapy (BPT),Pokhara University,4 years
767,MPhil in English Education,Nepal Open University,1 year 6 months
768,MPhil in Health Education,Nepal Open University,1 year 6 months
769,MPhil in Mathematics Education,Nepal Open University,1 year 6 months
770,MPhil in Social Sciences Education,Nepal Open University,1 year 6 months
771,MPhil in Educational Studies,Nepal Open University,1 year 6 months
772,MPhil in Nepali Education,Nepal Open University,1 year 6 months
773,MPhil in Economics,Nepal Open University,1 year 6 months
774,MPhil in Political Science,Nepal Open University,1 year 6 months
775,MPhil in Sociology,Nepal Open University,1 year 6 months
776,MBA-Evening (MBAe),Mid-West University,2 years
777,​Bachelor of Business Administration (BBA),Far-Western University,4 years
778,Master of Business Management (MBM),Far-Western University,2 years
779,Bachelor of Business Studies (BBS),Far-Western University,4 years
780,Master of Arts (MA),Far-Western University,2 years
781,MSc in Animal Science,Agriculture and Forestry University,2 years
782,Master of Veterinary Science (MVSc),Agriculture and Forestry University,2 years
783,MSc in Fisheries (Aquaculture),Agriculture and Forestry University,2 years
784,MPhil in Physics,Kathmandu University,1 year 6 months
785,MPhil in Chemistry,Kathmandu University,1 year 6 months
786,MPhil in Environmental Science,Kathmandu University,1 year 6 months
787,Basic Remote Sensing Training,,
788,MSc in Electrical Engineering in Power System,Pokhara University,2 years
789,MSc in Hydropower Engineering,Pokhara University,2 years
790,MA in Folklore and Cultural Studies,Mid-West University,2 years
791,MSc in Medical Microbiology,Pokhara University,3 years
792,MSc in Medical Biochemistry,Pokhara University,3 years
793,MSc in Structural Engineering,Mid-West University,2 years
794,MSc in Construction Management,Mid-West University,2 years
795,Master of Optometry (M Optom),Pokhara University,2 years
796,MSc in Public Health and Disaster Engineering (MSc PH),Pokhara University,2 years
797,PhD in Management,Purbanchal University,5 years
798,Bachelor of Midwifery (BMID),Kathmandu University,4 years
799,MDS Conservative Dentistry and Endodontics,Kathmandu University,3 years
800,MDS Periodontics,Kathmandu University,3 years
801,Master in Nursing (MSc N),Kathmandu University,2 years
802,MSc in Midwifery (MSc MID),Kathmandu University,2 years
803,Diploma in Hydropower Engineering,CTEVT,3 years
804,Bachelor of English Education (BEd),Far-Western University,4 years
805,Pre-Diploma in Entrepreneurship Development,CTEVT,1 year 3 months
806,Pre-Diploma in Computer Application and Secretarial Management,CTEVT,1 year 3 months
807,Master in Pharmacy (Clinical Pharmacy),Purbanchal University,2 years
808,BEd in Chinese Language Teaching (BEd in CLT),Kathmandu University,4 years
809,Master in Technical and Vocational Education and Training (MTVET),Kathmandu University,2 years
810,MEd in Leadership and Management - One Year,Kathmandu University,1 year
811,PhD in Education,Kathmandu University,5 years
812,Training on Application of GIS and Remote Sensing,,
813,MPhil in STEAM Education,Kathmandu University,1 year 6 months
814,Diploma in Journalism and Mass Communication (JMC),CTEVT,3 years
815,Diploma in Social Work,CTEVT,3 years
816,Community Livestock Assistant (CLA),CTEVT,3 months
817,Off Season Vegetable Producer (OVP),CTEVT,3 months
818,Community Agriculture Assistant (CAA),CTEVT,3 months
819,Plumber,CTEVT,3 months
820,Boiler Operator,CTEVT,3 months
821,Motorcycle Mechanic,CTEVT,3 months
822,Shuttering Carpenter,,3 months
823,Computer Operator,CTEVT,
824,Dairy Product / Sweet Maker,CTEVT,
825,Assistant Florist,CTEVT,
826,Bachelor of Business Administration (BBA),Nepal Open University,4 years
827,Garden Designer,CTEVT,
828,Flower Decorator (Florist),CTEVT,3 months
829,Fruit Processor,CTEVT,3 months
830,Herbal Farm Worker (HFW),CTEVT,3 months
831,Geo-Engineering Assistant Lab Technician,,3 months
832,BBA - Finance and Accountancy (BBA-FA),Tribhuvan University,4 years
833,CMAT (Bachelor) Entrance Exam Preparation,,90 days
834,Kathmandu University Law School Admissions Test (KULSAT),,
835,Kathmandu University Undergraduate Management Admission Test (KUUMAT),,
836,Bachelor of Engineering (B.E)/ Bachelor of Architecture (B.Arch) entrance exam,,
837,Master in Geoinformatics,Nepal Open University,2 years
838,Bachelor in Chemical Engineering,Tribhuvan University,4 years
839,Higher Diploma in International Culinary Arts (DICA),"American Hospitality Academy, USA",3 years
840,Kathmandu University School of Arts Admission Test (KUSAAT) (KUSAAT),,
841,Bachelors in Information Technology (BIT),Tribhuvan University,4 years
842,Master of Public Policy and Management (MPPM),Kathmandu University,2 years
843,Food and Beverage Service,CTEVT,7 days
844,Wine Appreciation,,
845,Dining Etiquette,CTEVT,1 day
846,BSc Laboratory Medicine,Kathmandu University,4 years
847,BSc Medical Imaging Technology (BScMIT),Kathmandu University,4 years
848,MS in Integrated Mountain Study,Tribhuvan University,2 years
849,Fellowship in Urogynaecology (FU),BPKIHS,2 years
850,Fellowship in Spine Surgery (FSS),BPKIHS,2 years
851,Bachelor in Travel and Tourism Management with honors in Buddhism (BTTM),Lumbini Buddhist University,4 years
852,PhD in English,Tribhuvan University,5 years
853,PhD in Nepali,Tribhuvan University,5 years
854,PhD in Anthropology,Tribhuvan University,5 years
855,"Bachelor of Arts, Bachelor of Law (BALLB)",Lumbini Buddhist University,5 years
856,PhD in Home Science,Tribhuvan University,5 years
857,PhD in Economics,Tribhuvan University,5 years
858,PhD in Geography,Tribhuvan University,5 years
859,PhD in Political Science,Tribhuvan University,5 years
860,PhD in History,Tribhuvan University,5 years
861,"PhD in Nepali Culture, History and Archeology (PhD in NeHCA)",Tribhuvan University,5 years
862,PhD in Rural Development (PhD in RD),Tribhuvan University,5 years
863,PhD in Buddhist Studies,Tribhuvan University,5 years
864,MSc Biochemistry,Tribhuvan University,2 years
865,MSc in Public Health (Epidemiology/Global Health) (MSc PH),Kathmandu University,2 years 6 months
866,BTEC HND in Hospitality Management leading to BHM,,3 years
867,BTEC HND in Computing leading to BSc IT,,3 years
868,BTEC HND in Business leading to BBA,,3 years
869,Bachelor in Perfusion Technology (B Perf),Tribhuvan University,4 years
870,Barista Training,,1 month
871,Bartender Training Program,,2 months
872,Waiter/Waitress Training,CTEVT,3 months
873,Community AMCHI Assistant,CTEVT,2 years
874,Bachelor in Public Service and Governance (BPSG),Tribhuvan University,4 years
875,Bachelor in Hospitality Management (BHM),"EHE European University, EurAka, Switzerland",4 years
876,BCS (IT) in Cyber Security & Networking,"EHE European University, EurAka, Switzerland",4 years
877,Professional Diploma in Culinary Arts,EuroSkills Technical & Vocational Academy,
878,Certificate in Front Office Management,CTEVT,
879,Certificate in Housekeeping,CTEVT,
880,Certificate in Cooking,CTEVT,
881,Certificate in Waiter/Waitress Training,CTEVT,
882,Professional Diploma in Hotel Management,EuroSkills Technical & Vocational Academy,
883,Bachelor of Arts in Psychology (BPSy),Tribhuvan University,4 years
884,Post Graduate Diploma in Yoga Science,Tribhuvan University,1 year
885,Master of Adventure Tourism Studies (MATS),Tribhuvan University,2 years
886,Undergraduate Program in Fashion Technology/ Design,,4 years
887,MFA in Sculpture,Tribhuvan University,2 years
888,MD Anaesthesiology,Pokhara Academy of Health Sciences,3 years
889,MS in General Surgery,Pokhara Academy of Health Sciences,3 years
890,MD in Internal Medicine,Pokhara Academy of Health Sciences,3 years
891,MD in Obstetrics and Gynaecology,Pokhara Academy of Health Sciences,3 years
892,MS in Orthopedics,Pokhara Academy of Health Sciences,3 years
893,MD in Paediatrics,Pokhara Academy of Health Sciences,3 years
894,MBS in Finance (MBS-F),Tribhuvan University,2 years
895,Bachelor of Management Studies (BMS),Tribhuvan University,4 years
896,Bachelor of Business Management-Applied (BBM Applied),Tribhuvan University,4 years
897,MBA in Finance (MBA - F),Tribhuvan University,2 years
898,BFA in Painting,Tribhuvan University,4 years
899,Masters of Business Administration (MBA),Rajarshi Janak University,2 years
900,BFA in Sculpture,Tribhuvan University,4 years
901,BFA in Graphic Communications,Tribhuvan University,4 years
902,BFA in Classical Dance,Tribhuvan University,4 years
903,BFA in Classical Tabala,Tribhuvan University,4 years
904,BFA in Classical Vocal | Instrumental,Tribhuvan University,4 years
905,BSc (Hons) in Applied Accounting (B.Sc (Hons)),​Oxford Brookes University,3 years
906,Diploma in International Financial Reporting Standards (DipIFR),ACCA,6 months
907,BFA in Traditional Nepali Sculpture,Tribhuvan University,4 years
908,BFA in Traditional Nepali Painting,Tribhuvan University,4 years
909,MA in Labor Studies (MA Labor Studies),Tribhuvan University,2 years
910,Fashion Designer,CTEVT,3 months
911,Tailor Master,CTEVT,3 years
912,Wooden Handicraft Maker,CTEVT,3 months
913,Psychosocial Counselor,CTEVT,6 months
914,Montessori Training,CTEVT,3 months
915,Bachelor of Public Health (BPH),Rajarshi Janak University,4 years
916,Trekking Guide Training,,2 months
917,Caregiver Training,CTEVT,3 months
918,Traditional Ayurveda Worker,CTEVT,3 years
919,Dental Chair-side Assistant,CTEVT,3 months
920,Dental Laboratory Mechanic (DLM),CTEVT,3 months
921,Physical Rehabilitation Assistant,CTEVT,3 months
922,Library Assistant,CTEVT,3 months
923,MSc  in Environmental Health in Disaster,Tribhuvan University,2 years
924,Bachelor of Arts in Geography (BA Geography),Tribhuvan University,4 years
925,Assistant Coffee Technician,CTEVT,
926,TSLC in Textile and Sericulture,CTEVT,15 months
927,M Ed in STEAM Education (One Year),Kathmandu University,1 year
928,Immers-ED: A Design Approach to Problem Solving,,
929,Emotional Intelligence Mindset,,
930,Transform Your Online Teaching,,
931,MBA Job Holders,Pokhara University,
932,Pre-Diploma in Forestry,CTEVT,1 year 6 months
